queryId,query,shape,span,intent,mode,strategy,ndcg,recall,jaccard,kendallTau,rbo,judgedNdcg,judgedCoverage,queries,computeUnits,latencyMs,stripeMix
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,single-index,1,1,1,1,1,0.9552009891550426,1,1,0.000366667,64.2999,books-oracle2=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,naive-score,0.9629085021362713,0.9,0.8181818181818182,0.9444444444444444,0.8116712146622653,0.9552009891550426,1,2,0.000633333,60.754799999999996,books-genre-a=9 | books-genre-b=1
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,interleave,0.7084407197431325,0.5,0.3333333333333333,0.8,0.5062118724963371,0.7681678616449638,1,2,0.000633333,58.7131,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,quota-merge,0.6909096678105691,0.5,0.3333333333333333,0.8,0.4790719996927523,0.7550899884054014,1,2,0.000633333,59.4785,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,global-rrf,0.6909096678105691,0.5,0.3333333333333333,0.8,0.4790719996927523,0.7550899884054014,1,2,0.000633333,58.4917,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,minmax-norm,0.7925325678431774,0.7,0.5384615384615384,0.9047619047619048,0.565706061685704,0.8360942634357769,1,2,0.000633333,60.0092,books-genre-a=7 | books-genre-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,zscore-norm,0.5281219527531784,0.6,0.42857142857142855,0.8666666666666667,0.35047891572584206,0.7297128784593798,1,2,0.000633333,60.065599999999996,books-genre-a=6 | books-genre-b=4
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-probe,0.9991728380361162,1,1,0.9111111111111111,0.8360095938284696,0.9552009891550426,1,10,0.00185,438.9356,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-sidecar,0.9991728380361162,1,1,0.9111111111111111,0.8360095938284696,0.9552009891550426,1,2,0.000633333,58.9443,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,global-bm25,0.8771243541894308,0.9,0.8181818181818182,0.5111111111111111,0.6328215507060201,0.9552009891550426,1,2,0.000633333,61.1581,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,single-index,1,1,1,1,1,0.570030958498182,1,1,0.000433333,67.8499,books-oracle2=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,naive-score,0.9980574769566493,0.9,0.8181818181818182,0.9555555555555556,0.8369230657675014,0.5113651771585391,1,2,0.0008,63.8183,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,interleave,0.7966314553710461,0.5,0.3333333333333333,0.23809523809523808,0.5151909214844783,0.37069561916209,1,2,0.0008,63.801,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,quota-merge,0.7945659946822806,0.5,0.3333333333333333,0.23809523809523808,0.5103831744369417,0.36956700405261683,1,2,0.0008,63.8572,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,global-rrf,0.7945659946822806,0.5,0.3333333333333333,0.23809523809523808,0.5103831744369417,0.36956700405261683,1,2,0.0008,63.817299999999996,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,minmax-norm,0.6631586307193901,0.3,0.17647058823529413,-0.06666666666666667,0.3292653401917185,0.3270063394580173,1,2,0.0008,63.8583,books-genre-a=3 | books-genre-b=7
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,zscore-norm,0.7667171231977694,0.5,0.3333333333333333,0.047619047619047616,0.4517339093083947,0.3437006887362055,1,2,0.0008,63.8512,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,idf-correct-probe,0.9980574769566493,0.9,0.8181818181818182,0.9555555555555556,0.8369230657675014,0.5113651771585391,1,14,0.0033833319999999997,593.0956,books-genre-a=10
