queryId,query,shape,span,intent,mode,strategy,ndcg,recall,jaccard,kendallTau,rbo,judgedNdcg,judgedCoverage,queries,computeUnits,latencyMs,stripeMix
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,single-index,1,1,1,1,1,0.7305840133505547,1,1,0.001183333,106.2766,books-oracle2=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,naive-score,1,1,1,1,0.9999999999999998,0.7305840133505547,1,2,0.0008500000000000001,65.8962,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,interleave,0.7708772732334263,0.5,0.3333333333333333,0.4666666666666667,0.6170673540341023,0.5203038776464316,1,2,0.0008500000000000001,63.7682,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,quota-merge,0.7677927707495528,0.5,0.3333333333333333,0.4666666666666667,0.6054110313309511,0.5169329917927893,1,2,0.0008500000000000001,64.6674,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,global-rrf,0.7677927707495528,0.5,0.3333333333333333,0.4666666666666667,0.6054110313309511,0.5169329917927893,1,2,0.0008500000000000001,63.6259,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,minmax-norm,0.8871935958064424,0.7,0.5384615384615384,0.5714285714285714,0.7728498681535595,0.5974277511794222,1,2,0.0008500000000000001,65.2155,books-genre-a=7 | books-genre-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,zscore-norm,0.7223774022098121,0.6,0.42857142857142855,0.42857142857142855,0.5492427684840978,0.456907691911519,1,2,0.0008500000000000001,65.2544,books-genre-a=6 | books-genre-b=4
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Vector,vector-similarity,1,1,1,1,0.9999999999999998,0.7305840133505547,1,2,0.0008500000000000001,63.7442,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Vector,single-index,1,1,1,1,1,0.6018054469565974,1,1,0.000583333,78.5114,books-oracle2=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Vector,naive-score,1,1,1,1,0.9999999999999998,0.6018054469565974,1,2,0.0006,62.9705,books-genre-a=10
