queryId,query,shape,span,intent,mode,strategy,ndcg,recall,jaccard,kendallTau,rbo,judgedNdcg,judgedCoverage,queries,computeUnits,latencyMs,stripeMix
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,single-index,1,1,1,1,1,0.8992570819408976,1,1,0.000366667,120.2971,books-oracle2=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,naive-score,0.51789902942258,0.4,0.25,0.2777777777777778,0.275868653659014,0.8263784389370987,1,2,0.000633333,127.2355,books-genre-a=9 | books-genre-b=1
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,interleave,0.7090081386375826,0.5,0.3333333333333333,1,0.5062118724963371,0.7451957744782367,1,2,0.000633333,124.9442,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,quota-merge,0.7090081386375826,0.5,0.3333333333333333,1,0.5062118724963371,0.7451957744782367,1,2,0.000633333,125.7599,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,global-rrf,0.7090081386375826,0.5,0.3333333333333333,1,0.5062118724963371,0.7451957744782367,1,2,0.000633333,124.7664,books-genre-a=5 | books-genre-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,minmax-norm,0.38688310887832966,0.3,0.17647058823529413,0.23809523809523808,0.2174220608394143,0.6939273690318826,1,2,0.000633333,126.2863,books-genre-a=7 | books-genre-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,zscore-norm,0.2918374763316076,0.3,0.17647058823529413,-0.06666666666666667,0.18598822247434682,0.5766854799895035,1,2,0.000633333,126.3977,books-genre-a=6 | books-genre-b=4
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-probe,0.5527875795202882,0.4,0.25,0.24444444444444444,0.2904978969296968,0.8278832590830629,1,10,0.000766669,481.454,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,semantic-score,1,1,1,1,0.8591367550184259,0.8992570819408976,1,2,0.000633333,124.7898,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,semantic-rerank,1,1,1,1,0.8591367550184259,0.8992570819408976,1,4,0.0010500000000000002,228.3972,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-sidecar,0.5527875795202882,0.4,0.25,0.24444444444444444,0.2904978969296968,0.8278832590830629,1,2,0.000633333,125.2779,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,global-bm25,0.6575207486696404,0.4,0.25,0.24444444444444444,0.3049717448684438,0.8785021462446923,0.9,2,0.000633333,127.3935,books-genre-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,external-rerank,0.5182216637942395,0.4,0.25,0.3888888888888889,0.2790268132832482,0.8357442077318847,1,2,0.000633333,27615.275700000002,books-genre-a=9 | books-genre-b=1
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,agentic-retrieval,1,1,1,1,0.8591367550184259,0.8992570819408976,1,0,0,2454.9598,knowledge-source-0=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,single-index,1,1,1,1,1,0.6410626846301555,1,1,0.000433333,160.8883,books-oracle2=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,naive-score,0.6792326013121265,0.6,0.42857142857142855,0.24444444444444444,0.35579306958980456,0.4593445663470975,1,2,0.0008,151.81490000000002,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,interleave,0.7090081386375826,0.5,0.3333333333333333,1,0.5062118724963371,0.48475300325554793,1,2,0.0008,151.6551,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,quota-merge,0.6914770867050193,0.5,0.3333333333333333,1,0.4790719996927523,0.4803937121756938,1,2,0.0008,151.65460000000002,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,global-rrf,0.6914770867050193,0.5,0.3333333333333333,1,0.4790719996927523,0.4803937121756938,1,2,0.0008,151.6737,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,minmax-norm,0.2627162298416609,0.2,0.1111111111111111,0.3333333333333333,0.20146602721826654,0.1564643180178188,1,2,0.0008,151.76590000000002,books-genre-a=3 | books-genre-b=7
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,zscore-norm,0.4525544781354839,0.4,0.25,0.06666666666666667,0.2657679634551698,0.2540726131859431,1,2,0.0008,151.7192,books-genre-a=5 | books-genre-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,idf-correct-probe,0.6792326013121265,0.6,0.42857142857142855,0.24444444444444444,0.35579306958980456,0.4593445663470975,1,14,0.001000004,662.4317000000001,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,semantic-score,0.9650645928231532,0.9,0.8181818181818182,1,0.8299906288046852,0.5865305804596255,1,2,0.0008,151.69160000000002,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,semantic-rerank,0.9650645928231532,0.9,0.8181818181818182,1,0.8299906288046852,0.5865305804596255,1,4,0.001633333,253.1282,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,idf-correct-sidecar,0.6792326013121265,0.6,0.42857142857142855,0.24444444444444444,0.35579306958980456,0.4593445663470975,1,2,0.0008,151.7612,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,global-bm25,0.6583833034306971,0.5,0.3333333333333333,-0.022222222222222223,0.24920206909255152,0.5530699552300314,0.7,2,0.0008,153.7867,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,external-rerank,0.7185268413366316,0.7,0.5384615384615384,-0.15555555555555556,0.363783125541862,0.7353703069875276,0.9,2,0.0008,29916.949399999998,books-genre-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,agentic-retrieval,0.9650645928231532,0.9,0.8181818181818182,1,0.8299906288046852,0.5865305804596255,1,0,0,361.0314,knowledge-source-0=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,single-index,1,1,1,1,1,0.5921767482452864,1,1,0.000416667,162.49,books-oracle2=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,naive-score,0.4182793761410545,0.1,0.05263157894736842,-0.1111111111111111,0.09411743681830417,0.16520235819406778,1,2,0.00075,145.8406,books-genre-a=5 | books-genre-b=5
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,interleave,0.7362831539173568,0.5,0.3333333333333333,1,0.5129101369920414,0.50792498449209,1,2,0.00075,145.7969,books-genre-a=5 | books-genre-b=5
