queryId,query,shape,span,intent,mode,strategy,ndcg,recall,jaccard,kendallTau,rbo,judgedNdcg,judgedCoverage,queries,computeUnits,latencyMs,stripeMix
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,single-index,1,1,1,1,1,0.8771324975457362,1,1,0.000366667,66.5982,books-oracle2=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,naive-score,0.9306958379573724,0.8,0.6666666666666666,0.8222222222222222,0.6713152943096853,0.8734958500015968,0.9,2,0.000516666,59.299800000000005,books-t2004-a=5 | books-t2004-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,interleave,0.9880919753314181,0.8,0.6666666666666666,0.8666666666666667,0.7929635307245343,0.8822144321613049,0.9,2,0.000516666,57.255700000000004,books-t2004-a=5 | books-t2004-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,quota-merge,0.987752360319375,0.8,0.6666666666666666,0.8222222222222222,0.7881557836769976,0.8795809969058676,0.9,2,0.000516666,58.0786,books-t2004-a=5 | books-t2004-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,global-rrf,0.987752360319375,0.8,0.6666666666666666,0.8222222222222222,0.7881557836769976,0.8795809969058676,0.9,2,0.000516666,57.1039,books-t2004-a=5 | books-t2004-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,minmax-norm,0.9958192102730226,1,1,0.8222222222222222,0.7989772373879778,0.8629023458272109,1,2,0.000516666,58.6681,books-t2004-a=7 | books-t2004-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,zscore-norm,0.9306958379573724,0.8,0.6666666666666666,0.8222222222222222,0.6713152943096853,0.8734958500015968,0.9,2,0.000516666,58.7894,books-t2004-a=5 | books-t2004-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-probe,0.9306958379573724,0.8,0.6666666666666666,0.8222222222222222,0.6713152943096853,0.8734958500015968,0.9,10,0.000650002,429.2719,books-t2004-a=5 | books-t2004-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-sidecar,0.9306958379573724,0.8,0.6666666666666666,0.8222222222222222,0.6713152943096853,0.8734958500015968,0.9,2,0.000516666,57.682900000000004,books-t2004-a=5 | books-t2004-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,single-index,1,1,1,1,1,0.44426423489927896,1,1,0.000433333,70.0082,books-oracle2=10
