queryId,query,shape,span,intent,mode,strategy,ndcg,recall,jaccard,kendallTau,rbo,judgedNdcg,judgedCoverage,queries,computeUnits,latencyMs,stripeMix
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,single-index,1,1,1,1,1,0.8992570819408976,1,1,0.000733333,118.2402,books-oracle2=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,naive-score,0.553471989476528,0.4,0.25,0.3333333333333333,0.2904978969296968,0.8318900084959158,1,2,0.000416667,126.337,books-t2016-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,interleave,0.7928464332388696,0.7,0.5384615384615384,1,0.565706061685704,0.6334188186076893,0.7,2,0.000416667,123.9725,books-t2016-a=7 | books-t2016-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,quota-merge,0.8982658901806848,0.9,0.8181818181818182,1,0.7025747303706025,0.7652703440669496,0.9,2,0.000416667,124.8931,books-t2016-a=9 | books-t2016-b=1
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,global-rrf,0.7867047803348189,0.7,0.5384615384615384,1,0.5525160835031617,0.6266739699447436,0.7,2,0.000416667,123.8271,books-t2016-a=7 | books-t2016-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,minmax-norm,0.4760933211036122,0.4,0.25,0.2222222222222222,0.2748384586531583,0.7024492689442777,0.9,2,0.000416667,125.4152,books-t2016-a=9 | books-t2016-b=1
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,zscore-norm,0.502332799956674,0.4,0.25,0.2222222222222222,0.2748384586531583,0.7312658296687922,0.9,2,0.000416667,125.6513,books-t2016-a=9 | books-t2016-b=1
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-probe,0.553471989476528,0.4,0.25,0.3333333333333333,0.2904978969296968,0.8318900084959158,1,10,0.002000001,499.2689,books-t2016-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,semantic-score,1,1,1,1,0.8591367550184259,0.8992570819408976,1,2,0.000416667,123.864,books-t2016-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,semantic-rerank,1,1,1,1,0.8591367550184259,0.8992570819408976,1,4,0.0009333330000000001,243.1834,books-t2016-a=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-sidecar,0.553471989476528,0.4,0.25,0.3333333333333333,0.2904978969296968,0.8318900084959158,1,2,0.000416667,124.4393,books-t2016-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,single-index,1,1,1,1,1,0.6410626846301555,1,1,0.000883333,129.1502,books-oracle2=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,naive-score,0.6804029903122125,0.6,0.42857142857142855,0.28888888888888886,0.3606008166373412,0.46160179656604383,1,2,0.000533333,125.9251,books-t2016-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,interleave,0.7090081386375826,0.5,0.3333333333333333,1,0.5062118724963371,0.45009330964340455,0.5,2,0.000533333,125.8907,books-t2016-a=5 | books-t2016-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,quota-merge,0.8982658901806848,0.9,0.8181818181818182,1,0.7025747303706025,0.535721199922737,0.9,2,0.000533333,125.8838,books-t2016-a=9 | books-t2016-b=1
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,global-rrf,0.6914770867050193,0.5,0.3333333333333333,1,0.4790719996927523,0.44355437302362344,0.5,2,0.000533333,125.9007,books-t2016-a=5 | books-t2016-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,minmax-norm,0.4265570362152637,0.4,0.25,0.2,0.2656464441086313,0.2540726131859431,0.5,2,0.000533333,125.9475,books-t2016-a=5 | books-t2016-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,zscore-norm,0.44697836848905903,0.4,0.25,0.2,0.2732777886285308,0.2638669173837605,0.5,2,0.000533333,125.9364,books-t2016-a=5 | books-t2016-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,idf-correct-probe,0.6804029903122125,0.6,0.42857142857142855,0.28888888888888886,0.3606008166373412,0.46160179656604383,1,14,0.003266667,679.8063999999999,books-t2016-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,semantic-score,1,1,1,1,0.8591367550184259,0.6410626846301555,1,2,0.000533333,125.9031,books-t2016-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,semantic-rerank,1,1,1,1,0.8591367550184259,0.6410626846301555,1,4,0.001216666,223.1406,books-t2016-a=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,idf-correct-sidecar,0.6804029903122125,0.6,0.42857142857142855,0.28888888888888886,0.3606008166373412,0.46160179656604383,1,2,0.000533333,126.0006,books-t2016-a=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,single-index,1,1,1,1,1,0.5921767482452864,1,1,0.000833333,117.828,books-oracle2=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,naive-score,0.48326541719774435,0.2,0.1111111111111111,0.06666666666666667,0.14479910451120312,0.3210658759558149,1,2,0.0005166670000000001,107.89,books-t2016-a=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,interleave,0.7090081386375826,0.5,0.3333333333333333,1,0.5062118724963371,0.4290049652415975,0.5,2,0.0005166670000000001,107.86470000000001,books-t2016-a=5 | books-t2016-b=5
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,quota-merge,0.7503360169121053,0.9,0.8181818181818182,1,0.6020566829499175,0.46242645594608695,0.9,2,0.0005166670000000001,107.8533,books-t2016-a=9 | books-t2016-b=1
